species_key,occurrence_count
8323622,250547
3152374,250047
3191030,249593
2926759,249048
2701571,248475
2650832,248456
5290090,247913
2975328,246187
5356393,245584
3191374,244555
7679536,243868
6411747,243010
3039491,242777
3003979,242184
5385604,239257
8200663,239158
7473187,239065
2703250,238906
2679898,238526
2840931,235835
5362008,235755
3052436,234609
3095609,233883
8272844,232677
3189080,231914
7886346,231434
5389017,231349
5372876,231162
2650625,230914
2721897,230907
3189157,229855
2849427,229707
2914338,229695
2881283,229418
2702808,229250
5390848,227473
5275365,226569
2925529,226220
5403296,225638
3065239,224338
8370958,223959
2927303,223714
2914547,223270
2679715,222687
3054368,222449
8366345,221784
3029627,221472
2727294,221177
5393103,220940
2727038,220938
6027128,220543
2706465,219839
3066386,219805
8182596,219688
5350005,219169
2650669,219088
9213153,218787
3034825,218560
5338920,218334
2675446,218125
2891782,217864
3033374,216644
5663962,216360
6437017,215976
5414202,215825
6375040,215432
7887000,215397
5333413,214313
5284517,214234
2913556,214077
3021496,213537
5405976,213471
9148812,213130
5304283,213118
3135329,212678
3172070,212112
5341443,211591
2651330,211098
5353750,209910
3034820,208055
2710592,207715
2988069,207172
5414457,205520
5356704,205388
3034606,205285
5412014,202888
3047598,202783
2755063,202713
2888310,202117
2882580,201972
2679696,201628
3128225,201459
2889828,201008
3007054,200106
3189866,199608
2726592,198730
3189815,198345
2769766,198288
2686212,197770
3034650,197748
7551339,197463
5366922,197323
9188840,194625
2792998,193653
2701799,192997
3085433,192083
5331181,191376
2927192,190550
2888960,190477
2986184,190321
5334220,189694
3169358,189429
5414335,189359
5284809,189167
3062975,188521
2703793,188109
8411755,187764
3113745,187236
2890122,187058
3190653,185686
2892347,182100
2926684,182075
7331633,181866
2926679,181816
8252683,181359
3046076,181199
3089561,181111
2688393,180511
5384781,180107
2725082,180071
2888802,179985
5664290,179782
2728531,179669
5324951,179485
3189739,179141
3171734,178810
7871428,178179
2880539,177541
8794742,177403
4921778,177296
3040983,177244
5331347,177203
4109084,177179
6109535,177155
5301147,176523
4279479,176518
3083786,176499
3085810,174792
3040227,174759
2684451,174392
2882940,174370
3141855,174040
3040252,173994
5384606,173679
2679707,173336
3084015,173123
5334217,172175
2702084,172014
2722942,171475
2986097,171325
2701339,171317
8002952,171151
4116392,170318
2998290,170151
5363119,170096
2727655,169475
7322563,169217
4280088,169087
3084719,168619
3033191,168195
2722833,167746
2723371,167425
8248593,166662
5410564,166458
5290052,166358
3105380,166042
7792960,166021
5361760,165887
5414548,165776
8345757,165617
2890212,165583
2816176,165164
2986185,164540
2700859,163606
8011540,163341
2888963,162347
5391862,161946
5602614,161690
2889262,161335
5332004,161331
7331435,160318
2926110,160023
8427624,160000
2682836,159923
2879098,159455
3166841,159423
6363434,159372
5339050,158527
2739622,158452
6422396,158227
3083728,158165
2864102,157999
4108861,157687
5708780,157306
3040233,157276
6400569,156853
3052680,156831
5411475,156509
3176787,156324
2688197,156257
5329622,156175
7795888,156035
8605056,155911
2986192,155539
3114649,154791
7307002,154277
2984671,153884
5275316,152799
8368313,152763
3152379,152422
3797394,152129
5333411,152101
3053168,151891
5415065,151882
2753146,151647
5329593,151449
2864078,150868
2866113,150747
10918187,150740
5328491,150680
2928751,150427
5319226,150237
2808565,150165
5403531,149925
3171945,149743
12186874,149567
2855356,148994
5331258,148284
2888794,147975
5409933,147764
5371874,147712
2722051,147622
9490132,147593
2770228,147411
2721119,146748
7702019,146138
5341449,146103
6109637,146071
8298495,145901
2996929,145583
4119608,145439
2888722,144784
5289684,144766
2675979,144477
3033266,144403
5329611,143937
3189755,143793
3046044,143269
2882803,143237
8313153,143187
2882398,142673
2650818,142442
2927298,142430
3634395,142238
2687927,141955
2926894,141796
6436469,141367
2890920,141028
2724729,140842
7277831,140723
2722046,140271
2797913,140138
5333410,139991
3034699,139099
5329609,138804
3887383,138351
3085424,137898
3105433,137706
5415039,137656
7270598,136814
5328510,136727
3053522,136566
2888762,136561
9410160,136083
2928226,135933
2650999,135722
3033894,135567
7291247,135520
5329596,135455
3107361,135339
2706541,135192
2874027,135185
8012439,135174
2891779,134967
2888585,134852
5372800,134436
2718117,134432
7793938,134378
2869101,134373
7307760,134310
2890603,134294
5330661,133718
3152373,133409
3170875,133391
5365717,133321
2888464,132868
2705297,132836
3023878,132547
5411920,132511
2793334,131915
2687942,131722
2891304,131484
3122924,131332
3053201,131325
5281381,131069
5582546,130843
7510173,130751
3082263,130330
2815832,130225
5329617,129951
5371825,129790
2816213,129768
2795869,129694
5347612,129657
5289972,129620
8193111,129072
5301200,129027
2867579,128798
3001244,128618
5384501,128520
2926130,128509
2704234,128271
3034922,128037
5350452,127557
2685796,127414
3034714,127196
3082246,127059
2704265,127047
2727907,127036
7925535,126587
6026760,125958
3090783,125809
3712747,125720
2959443,125568
2683084,125461
5387328,124957
9100915,124820
2687943,124466
3152195,124328
3085633,124229
2773448,123859
3022789,123458
2888778,123018
5361815,122884
5371473,122770
3033675,122732
5290319,122724
5410436,122597
7353729,122454
5359047,122333
4097481,122072
8273130,122040
3121461,122039
3170040,121954
3189883,121799
6413621,121605
5341197,121502
4129708,121199
5282688,120582
3045931,120428
2726880,120253
2718307,120251
12225742,120202
5329266,120182
3171669,120019
2710941,119516
3034807,119285
5392174,118653
3152048,118601
2673299,118583
7339315,117909
5341442,117859
2710560,117657
3039285,117585
8930531,117452
5341501,117357
5420853,117276
2864467,117235
3048831,117184
3170247,116919
2705300,116873
3021730,116836
5318958,116226
3085894,115342
8400876,115261
3111049,115168
3107987,115158
2701727,115026
6027328,114758
8677924,114632
3146683,114495
4126489,114417
7313595,114354
5372933,114226
2865280,114105
2874030,113463
2925303,113245
7589756,113208
3085434,113176
2678415,113150
2797313,112779
2888298,112773
8185959,112741
2881480,112732
2679436,112588
2965527,112435
2725414,112385
2865448,112317
9823072,112103
7863767,112012
3098616,111804
2975083,111725
2770004,111717
7526486,111543
3169708,111158
2722760,111058
5347571,110937
2879175,110918
2795952,110616
4007442,110576
5365013,110476
3042291,110400
2927069,110211
5346998,110081
7509607,109748
10487667,109573
5341303,109465
5341175,109322
8328247,109320
5289582,109237
7747216,109099
2702727,108967
2827083,108768
8105693,108762
2809968,108102
4889932,108074
6109534,108068
5290097,107264
2865260,106997
3032833,106981
3118430,106967
3169756,106750
3033865,106715
2992051,106705
5373324,106506
3171712,106382
2864429,106294
3112799,106175
5404542,106115
5331268,105877
5372392,105624
5329212,105553
5376961,105259
10998833,105047
2768885,104759
5358935,104502
2891031,104086
3172072,104012
3107855,104000
9182154,103982
3039194,103961
3172045,103784
2927190,103749
3190538,103220
3170807,103153
5285750,102695
7319269,102669
2888272,102666
7701037,102664
3066965,102576
3048266,102560
2728174,102548
2722326,102476
5289642,102189
8971475,102053
2703670,101790
2677117,101607
3166655,101564
3190450,101431
5289461,101381
2965354,101290
5356517,101268
7736011,100964
3087634,100953
3631293,100861
2724517,100497
3172086,100313
6371424,100288
2792588,100178
5284982,99973
2722210,99736
8971274,99622
2882437,99537
2770868,99373
5532455,99298
9202524,99149
5415019,98931
5295044,98859
6366886,98423
7921919,98375
3171980,97661
2810284,97449
8086756,97368
7618770,97229
5358256,97146
5361909,96879
5361801,96771
5403709,96769
7973697,96756
2986129,96717
3040251,96470
2888269,96291
3188585,96200
3001509,96105
3104173,95690
8188719,95681
2888380,95555
5290194,95528
3034915,95432
2891774,95346
2650165,95302
2673098,95187
2688970,95114
3003244,95011
3190638,94366
2891661,94286
2883073,94188
8049341,94149
2702266,93796
2952000,93791
7301056,93768
2706056,93467
5289693,93466
2888740,93116
2972595,93093
2985865,93092
3190628,93041
3002333,92791
7820611,92578
2769204,92364
2723259,92340
3088323,92291
2724108,92243
2812375,92113
2683092,92075
5328882,91595
2965093,91020
4107931,90949
5391710,90805
8073758,90743
3053376,90572
3103192,90546
2650594,90545
5284827,90504
2925815,90501
7270381,90197
4128839,90160
7749287,90095
2795845,89692
5283780,89682
2927118,89377
8250334,89367
2650617,89195
7270427,88996
7334368,88983
2865368,88647
3191157,88645
2849624,88537
5341305,88478
5281901,88475
6082337,88333
2925895,88186
3069593,88158
3147080,87845
5384754,87665
5334208,87448
5301162,87317
3169340,87080
2703746,86926
7918641,86881
5373358,86880
3133692,86786
7308294,86389
2704261,86349
3034823,86306
3114563,86290
3188924,86246
7568403,86072
5372875,86009
2650903,85952
4925530,85863
7325877,85582
2730210,85206
5362136,85125
9121716,85121
2857071,85026
3152824,85010
2700874,84721
8915858,84430
2742119,84359
3069475,84219
3085413,84162
5300245,84157
4276916,84141
3033839,84025
5352466,83965
3033621,83906
6026401,83800
8165236,83517
3121319,83481
5380041,83405
5393080,83361
3034391,83274
2863924,83142
2703467,82890
3041022,82881
5353705,82756
7903057,82450
9509071,82280
6559939,82180
4044517,81951
5377060,81766
2723055,81717
2768995,81690
3189543,81413
5388835,81352
6027319,81208
2952882,81163
7941223,81104
5372647,81060
2703041,81054
8952395,80968
2682005,80922
5280562,80759
2701930,80756
3152583,80696
2769457,80490
5334240,80488
4201784,80459
11869920,80382
7334631,80327
2867569,80317
5324959,80315
2705181,80061
2882274,80047
9613389,79973
3189837,79942
7931731,79932
2725881,79890
2688740,79870
2684640,79860
3033129,79854
3102781,79722
3094900,79706
2888946,79665
8063871,79552
8429926,79538
5376426,79495
2701900,79451
5359378,79421
4006551,79264
2705011,79206
2820517,79175
2756540,79039
7931979,79014
2705921,78892
2676667,78786
2705228,78668
5347644,78625
3131494,78546
5281431,78373
7333052,78070
2888353,77925
2705286,77896
3172348,77804
2927189,77780
2728963,77744
5676053,77658
5371888,77613
9023462,77597
12194263,77278
3632234,77276
4142326,77201
2965531,77192
2704688,77169
7946667,77137
5341177,76963
5281453,76698
7315229,76543
2711157,76270
2702867,76250
2695588,76239
2726956,76101
7797019,75766
3189525,75679
8106874,75679
3088922,75560
6390806,75501
2770914,75301
5341201,75234
5390618,75184
3085798,75175
5282529,75170
3006974,75060
5373254,75038
2703760,74840
2863967,74823
2723188,74609
5439925,74427
12171609,74351
5410226,74333
5578472,74252
2721983,74208
2651098,74107
5632022,73990
6027105,73936
2669006,73896
2927026,73843
9103518,73677
2996525,73644
2705290,73558
2666910,73433
8174785,73356
5415024,73332
2650716,73286
5331325,73245
7327990,72871
4106903,72825
6027388,72710
8400458,72704
3028763,72677
2728143,72618
5301226,72486
3046187,72392
8127028,72154
3082244,72147
3145214,72068
3101184,71680
5285385,71671
2702740,71613
7647400,71509
2888342,71481
5356354,71369
3067353,71368
3042636,71282
8000707,71216
5283263,71171
6409622,71154
8353146,70781
5356623,70645
2888439,70635
5334192,70552
3085619,70517
5372503,70493
8232412,70490
3044855,70234
3172100,70094
9206251,70094
5343585,70022
3085776,69881
2703766,69707
5371864,69667
3171947,69646
7639623,69548
5376000,69519
2723953,69339
2984565,69338
3191414,69337
5341389,69164
3131229,69061
2680247,68979
3132570,68934
2890560,68805
10055902,68747
2651495,68650
2725816,68359
3027640,68259
5277182,68230
2702792,68205
5371890,68181
5369806,68046
4251552,68043
5356522,67922
6409706,67888
3050364,67781
3190522,67759
3189152,67749
5367294,67676
7439391,67573
5272770,67198
4276912,67055
2671271,66888
2929892,66846
5341204,66806
7420038,66706
5421144,66695
3033896,66424
2979474,66171
3033483,66107
7325947,66097
5391074,66069
3152861,66040
5373083,66020
2858244,65942
5347727,65920
2979000,65869
8203538,65802
7736551,65492
3085357,65450
5348647,65438
5370380,65386
5282610,65359
8941837,65285
3170115,65214
3032837,65168
2773942,65095
6026420,65087
5361991,65081
2864397,65057
3034015,65029
5312179,64902
7278071,64887
2701599,64736
9868510,64720
6363496,64472
2650133,64447
6443709,64100
3188743,63964
8956987,63751
2867316,63742
5275102,63662
2855860,63581
2651113,63475
3093911,63454
2925901,63341
3033227,63335
7311306,63218
5286325,63203
5362573,63162
3067119,62998
8537667,62888
2709923,62870
2706368,62720
3169313,62697
2688570,62648
2927304,62628
5357217,62513
6387994,62504
8340600,62487
5298765,62403
2704687,62329
2731327,62240
2684391,62066
9004024,62015
10071055,61961
3738478,61827
5347702,61787
5372487,61404
8351789,61350
3069761,61177
3146717,61142
5280516,61127
2705914,61090
3190580,61038
2772020,60989
4105780,60834
2675719,60686
3034782,60634
2669002,60214
8044896,60090
8227677,60038
2913863,60034
6376340,59938
7384966,59910
7725469,59821
5290083,59746
2728870,59717
7100278,59682
2880580,59505
2703124,59323
2889373,59321
2890541,59254
7884558,59172
2679711,59143
3084745,59041
3052509,58893
5359425,58789
5421111,58762
3172074,58722
5285053,58564
5372829,58529
2682534,58470
7265184,58207
2769544,58094
3044318,58054
2770988,58019
5530881,57866
2974832,57806
7103891,57801
3039203,57785
7890713,57759
2717910,57699
5338762,57671
5365496,57619
2863922,57482
2715482,57456
2650720,57155
7923515,56990
5366215,56946
8006324,56870
2705565,56861
2683058,56744
2673408,56692
2704987,56653
7459211,56495
5361944,56478
5299536,56475
8363061,56467
5353583,56441
3085884,56413
2726416,56382
7600601,56364
3170819,56361
2687182,56326
8231647,56317
2928667,56279
2687885,56253
5384364,56167
2888961,56133
3928139,56116
4279461,56075
3188894,56017
2927518,55849
3136606,55711
3082270,55707
2726010,55706
3083541,55676
7104074,55608
2722914,55563
3189859,55536
3085368,55520
3190932,55456
3152520,55434
7270648,55410
3066482,55398
3642051,55358
2717570,55277
9823314,55183
3112694,55166
2735462,55084
2984532,54950
2812415,54880
3054168,54748
4139238,54723
3034002,54696
3118216,54657
3172059,54556
5290177,54513
3027648,54388
2641582,54339
8232782,54324
4051746,54231
2873769,54197
5384848,54065
2773902,54056
2722950,54036
8080743,54008
7533148,53938
2705185,53927
3033836,53842
2725388,53815
2926086,53750
2705449,53729
7331741,53671
3114225,53662
5376648,53653
5338929,53643
5289686,53529
5371808,53528
3105508,53517
5281229,53432
3141101,53389
7298997,53297
3033665,53179
7650426,53175
6391446,53172
2747567,53140
4005183,53082
3087725,53070
2713300,53036
5376627,52966
2688345,52940
5305191,52844
5355395,52775
5375020,52764
5607804,52746
3140574,52692
2805322,52633
3170823,52555
3085388,52508
2856457,52492
3085438,52287
7307272,52193
4252828,52156
10786206,52129
3034233,52104
7262958,52018
8190643,52012
2706458,52000
2688738,51994
5914287,51953
8310009,51787
5358683,51786
2898000,51697
2772902,51607
3816070,51546
7307319,51543
5365305,51542
2870117,51517
7932677,51343
3040215,51262
2858581,51236
5356345,51153
3089146,51099
5341129,51047
2878826,50980
3085381,50905
7172720,50836
8406661,50833
3031774,50805
5285727,50802
8365713,50662
8290282,50657
5410194,50636
8941778,50594
3042658,50481
3098912,50446
3170817,50353
8190077,50314
3147168,50284
5334294,50185
5400552,50108
5362215,50017
5300535,49979
2725766,49964
2857616,49849
3133702,49777
2752815,49755
2923947,49656
3022668,49651
2651122,49588
4092146,49571
5361773,49527
5710930,49505
3172294,49493
4245384,49449
2728226,49441
3170305,49415
9182765,49410
2706009,49409
2974793,49400
7303844,49343
8005654,49306
7301010,49283
5371781,49267
3626958,49214
7321588,49184
2927079,49142
2679967,49102
5386903,49093
5391845,49028
3037021,49007
2706112,48956
5391861,48760
7339396,48716
3802655,48699
3034530,48697
4280646,48661
2888304,48655
2672680,48630
3172118,48604
7570897,48583
3024109,48582
7293616,48522
4926336,48503
7768870,48476
3172082,48467
5372655,48371
2679656,48289
5385215,48249
5674152,48196
7902463,48128
2673131,48088
2700706,48062
2926065,47916
7303060,47888
7808016,47848
2717493,47828
5341411,47656
5323092,47632
2891390,47615
5555425,47599
5649577,47589
2888513,47543
3180085,47505
5329324,47457
8965572,47435
5341187,47331
10953644,47323
2678712,47189
5373533,47096
2927305,47043
2932011,47031
5329192,47029
2717898,46995
5414992,46969
5356973,46921
3921611,46895
3119175,46878
2735117,46840
3133705,46832
2930137,46767
5567578,46746
2700768,46733
2880808,46721
2820380,46598
5359060,46562
2792827,46540
8424006,46538
2888769,46514
3089154,46506
2650841,46474
2995149,46361
3152042,46255
3039267,46201
6391417,46154
7303081,46132
5371743,46077
5531435,46060
5401008,46023
2890536,45996
7475424,45954
5420901,45913
2679866,45905
2888307,45874
2975188,45854
2703723,45846
2723521,45829
2668996,45814
2873991,45774
2860409,45744
5334190,45723
3171145,45719
2687920,45676
5392950,45617
2970418,45571
8012685,45571
2888978,45521
2689550,45442
7708376,45353
5334247,45276
3714477,45250
5403508,45202
2874680,45101
2718201,45007
3132457,44965
5540777,44964
2993761,44895
3172427,44887
3085895,44866
2927080,44858
3713039,44849
5420380,44820
2928783,44758
8242683,44756
6389089,44750
3045634,44690
7601217,44656
2978730,44621
3190474,44596
4279903,44552
3789029,44542
2716489,44520
7293605,44498
5358977,44438
5384200,44391
2927229,44289
8766300,44276
3188797,44268
2678391,44240
5365026,44212
2889358,44176
8242995,44148
2706068,44143
3084742,44100
2706406,44096
7826351,44059
3025576,44017
5346583,44003
2977234,43983
6447669,43949
5403605,43941
4129208,43854
5286350,43806
5341112,43728
8335191,43718
5320048,43713
3082322,43704
3928615,43666
3039269,43640
4120665,43632
5409958,43607
5356412,43589
7642703,43578
2688495,43575
7331666,43559
5387396,43502
2729936,43378
4110879,43323
5359395,43220
5286308,43181
2767506,43065
3096622,43061
2787993,42975
2986045,42959
3083696,42929
7272699,42856
2925767,42848
3127727,42835
7735944,42824
3138230,42755
3028198,42755
6366597,42751
5290144,42737
2742283,42709
3047621,42703
5828197,42681
3171946,42671
5371782,42600
2940408,42595
